,value.Total.Energy.Emissions..CO2...Energy.,VALUE,
value.Chickens..broilers.Direct.emissions..CO2eq...Manure.management.,0.71300317,TRUE,TRUE
value.Chickens..broilers.Emissions..CO2eq..from.N2O..Manure.management.,0.713362627,TRUE,TRUE
value.Chickens..layers.Stocks,0.721144687,TRUE,TRUE
value.Poultry.Birds.Emissions..CH4...Manure.management.,0.728751733,TRUE,TRUE
value.Poultry.Birds.Emissions..CO2eq..from.CH4..Manure.management.,0.728751733,TRUE,TRUE
value.Chickens.Emissions..CH4...Manure.management.,0.730963117,TRUE,TRUE
value.Chickens.Emissions..CO2eq..from.CH4..Manure.management.,0.730963117,TRUE,TRUE
value.Chickens..layers.Emissions..CH4...Manure.management.,0.733637436,TRUE,TRUE
value.Chickens..layers.Emissions..CO2eq..from.CH4..Manure.management.,0.733653827,TRUE,TRUE
value.Chickens..layers.Emissions..CO2eq...Manure.management.,0.752833069,TRUE,TRUE
value.Chickens.Emissions..CO2eq...Manure.management.,0.753112905,TRUE,TRUE
value.Poultry.Birds.Emissions..CO2eq...Manure.management.,0.755101425,TRUE,TRUE
value.Chickens.Indirect.emissions..N2O...Manure.applied.,0.758705599,TRUE,TRUE
value.Chickens.Manure..N.content...Manure.management.,0.758940434,TRUE,TRUE
value.Chickens.Manure..N.content...Manure.applied.,0.759343027,TRUE,TRUE
value.Chickens.Direct.emissions..CO2eq...Manure.applied.,0.759343027,TRUE,TRUE
value.Chickens.Indirect.emissions..CO2eq...Manure.applied.,0.759343027,TRUE,TRUE
value.Chickens.Emissions..CO2eq...Manure.applied.,0.759343027,TRUE,TRUE
value.Chickens.Direct.emissions..N2O...Manure.applied.,0.759370826,TRUE,TRUE
value.Chickens.Emissions..N2O...Manure.applied.,0.759601,TRUE,TRUE
value.Chickens.Emissions..N2O...Manure.management.,0.760610719,TRUE,TRUE
value.Chickens.Emissions..CO2eq..from.N2O..Manure.management.,0.760685961,TRUE,TRUE
value.Chickens.Direct.emissions..CO2eq...Manure.management.,0.760825431,TRUE,TRUE
value.Chickens..layers.Direct.emissions..N2O...Manure.applied.,0.760850107,TRUE,TRUE
value.Chickens.Direct.emissions..N2O...Manure.management.,0.761110376,TRUE,TRUE
value.Chickens..layers.Emissions..N2O...Manure.applied.,0.761329414,TRUE,TRUE
value.Chickens..layers.Manure..N.content...Manure.applied.,0.761363727,TRUE,TRUE
value.Chickens..layers.Direct.emissions..CO2eq...Manure.applied.,0.761363727,TRUE,TRUE
value.Chickens..layers.Indirect.emissions..CO2eq...Manure.applied.,0.761363727,TRUE,TRUE
value.Chickens..layers.Emissions..CO2eq...Manure.applied.,0.761363727,TRUE,TRUE
value.Chickens..layers.Manure..N.content...Manure.management.,0.761648418,TRUE,TRUE
value.Chickens..layers.Direct.emissions..CO2eq...Manure.management.,0.761756255,TRUE,TRUE
value.Poultry.Birds.Indirect.emissions..N2O...Manure.applied.,0.761942181,TRUE,TRUE
value.Chickens..layers.Indirect.emissions..N2O...Manure.applied.,0.762087023,TRUE,TRUE
value.Chickens..layers.Emissions..CO2eq..from.N2O..Manure.management.,0.76210421,TRUE,TRUE
value.Poultry.Birds.Manure..N.content...Manure.management.,0.762202873,TRUE,TRUE
value.Chickens..layers.Direct.emissions..N2O...Manure.management.,0.762534997,TRUE,TRUE
value.Poultry.Birds.Manure..N.content...Manure.applied.,0.76253645,TRUE,TRUE
value.Poultry.Birds.Direct.emissions..CO2eq...Manure.applied.,0.76253645,TRUE,TRUE
value.Poultry.Birds.Indirect.emissions..CO2eq...Manure.applied.,0.76253645,TRUE,TRUE
value.Poultry.Birds.Emissions..CO2eq...Manure.applied.,0.76253645,TRUE,TRUE
value.Poultry.Birds.Emissions..N2O...Manure.management.,0.762665695,TRUE,TRUE
value.Poultry.Birds.Emissions..N2O...Manure.applied.,0.762692149,TRUE,TRUE
value.Poultry.Birds.Direct.emissions..N2O...Manure.applied.,0.762789959,TRUE,TRUE
value.Chickens..layers.Emissions..N2O...Manure.management.,0.762869151,TRUE,TRUE
value.Poultry.Birds.Emissions..CO2eq..from.N2O..Manure.management.,0.762904534,TRUE,TRUE
value.Poultry.Birds.Direct.emissions..N2O...Manure.management.,0.76311807,TRUE,TRUE
value.Poultry.Birds.Direct.emissions..CO2eq...Manure.management.,0.763413527,TRUE,TRUE
value.Nutrient.nitrogen.N..total..Agricultural.Use.in.nutrients,0.791716696,TRUE,TRUE
value.Nutrient.nitrogen.N..total..Nitrogen.fertilizer.content.applied.that.leaches,0.791716696,TRUE,TRUE
value.Nutrient.nitrogen.N..total..Nitrogen.fertilizer.content.applied.that.volatilises,0.791716696,TRUE,TRUE
value.Synthetic.Nitrogen.fertilizers.Direct.emissions..CO2eq...Synthetic.fertilizers.,0.809367744,TRUE,TRUE
value.Synthetic.Nitrogen.fertilizers.Indirect.emissions..CO2eq...Synthetic.fertilizers.,0.809367744,TRUE,TRUE
value.Synthetic.Nitrogen.fertilizers.Emissions..CO2eq...Synthetic.fertilizers.,0.809367744,TRUE,TRUE
value.Synthetic.Nitrogen.fertilizers.Indirect.emissions..N2O...Synthetic.fertilizers.,0.809454219,TRUE,TRUE
value.Synthetic.Nitrogen.fertilizers.Emissions..N2O...Synthetic.fertilizers.,0.809475881,TRUE,TRUE
value.Synthetic.Nitrogen.fertilizers.Direct.emissions..N2O...Synthetic.fertilizers.,0.809609662,TRUE,TRUE
value.Synthetic.Nitrogen.fertilizers.Indirect.emissions..N2O.that.volatilises...Synthetic.fertilizers.,0.809776269,TRUE,TRUE
value.Synthetic.Nitrogen.fertilizers.Indirect.emissions..N2O.that.leaches...Synthetic.fertilizers.,0.809805711,TRUE,TRUE
value.Nitrogenous.fertilizers.Agricultural.Use,0.811408133,TRUE,TRUE
value.Nitrogenous.fertilizers.Nitrogen.fertilizer.content.applied.that.leaches,0.811408133,TRUE,TRUE
value.Nitrogenous.fertilizers.Nitrogen.fertilizer.content.applied.that.volatilises,0.811408133,TRUE,TRUE
value.Electricity.Emissions..CO2...Energy.,0.8458917,TRUE,TRUE
value.Electricity.Emissions..CO2eq...Energy.,0.865825094,TRUE,TRUE
value.Electricity.Emissions..N2O...Energy.,0.866622865,TRUE,TRUE
value.Electricity.Emissions..CO2eq..from.N2O..Energy.,0.870436745,TRUE,TRUE
value.Electricity.Consumption.in.Agriculture,0.870462128,TRUE,TRUE
value.Electricity.Emissions..CH4...Energy.,0.870462128,TRUE,TRUE
value.Electricity.Emissions..CO2eq..from.CH4..Energy.,0.870462128,TRUE,TRUE
value.Total.Energy.Emissions..CO2eq..from.CH4..Energy.,0.897003861,TRUE,TRUE
value.Total.Energy.Emissions..CH4...Energy.,0.897027204,TRUE,TRUE
value.Total.Energy.Emissions..N2O...Energy.,0.923185438,TRUE,TRUE
value.Total.Energy.Emissions..CO2eq..from.N2O..Energy.,0.923470579,TRUE,TRUE
value.Gas.Diesel.oil.Emissions..CH4...Energy.,0.93798459,TRUE,TRUE
value.Gas.Diesel.oil.Emissions..CO2eq..from.N2O..Energy.,0.93798459,TRUE,TRUE
value.Gas.Diesel.oil.Emissions..CO2eq...Energy.,0.938022687,TRUE,TRUE
value.Gas.Diesel.oil.Emissions..CO2eq..from.CH4..Energy.,0.938029918,TRUE,TRUE
value.Gas.Diesel.oil.Consumption.in.Agriculture,0.938079648,TRUE,TRUE
value.Gas.Diesel.oil.Emissions..CO2...Energy.,0.938127657,TRUE,TRUE
value.Gas.Diesel.oil.Emissions..N2O...Energy.,0.938138171,TRUE,TRUE
value.Total.Energy.Consumption.in.Agriculture,0.980516346,TRUE,TRUE
